"Channel 452"	"Channel 523"	"Channel 594"	"Channel 676"	"X (pixel)"	"Y (pixel)"	"X (microns)"	"Y (microns)"	"X__1"
0	0	313	0	757	396	82.6644	43.2432	NA
0	0	593	0	758	396	82.7736	43.2432	NA
0	0	715	0	759	395	82.8828	43.134	NA
0	160	1857	270	760	394	82.992	43.0248	NA
122	158	3927	452	761	394	83.1012	43.0248	NA
119	0	5339	600	762	393	83.2104	42.9156	NA
0	0	1559	230	763	392	83.3196	42.8064	NA
119	0	784	0	764	392	83.4288	42.8064	NA
118	0	828	0	765	391	83.538	42.6972	NA
123	0	532	0	766	390	83.6472	42.588	NA
127	0	253	0	767	390	83.7564	42.588	NA
123	0	0	0	768	389	83.8656	42.4788	NA
0	0	0	0	769	388	83.9748	42.3696	NA
119	0	194	0	770	388	84.084	42.3696	NA
120	0	167	350	771	387	84.1932	42.2604	NA
128	0	197	352	772	386	84.3024	42.1512	NA
124	0	337	291	773	386	84.4116	42.1512	NA
121	0	343	0	774	385	84.5208	42.042	NA
122	0	306	0	775	384	84.63	41.9328	NA
124	0	377	0	776	384	84.7392	41.9328	NA
119	0	459	0	777	383	84.8484	41.8236	NA
130	0	991	0	778	382	84.9576	41.7144	NA
121	0	786	0	779	382	85.0668	41.7144	NA
121	0	641	0	780	381	85.176	41.6052	NA
120	0	666	0	781	380	85.2852	41.496	NA
124	0	843	0	782	380	85.3944	41.496	NA
119	0	1480	0	783	379	85.5036	41.3868	NA
126	0	2546	0	784	378	85.6128	41.2776	NA
123	157	5629	332	785	378	85.722	41.2776	NA
122	173	4858	598	786	377	85.8312	41.1684	NA
126	204	4859	645	787	376	85.9404	41.0592	NA
123	178	9390	994	788	376	86.0496	41.0592	NA
127	0	2360	499	789	375	86.1588	40.95	NA
123	0	1182	221	790	374	86.268	40.8408	NA
122	0	1610	0	791	374	86.3772	40.8408	NA
120	0	2214	0	792	373	86.4864	40.7316	NA
124	0	3959	0	793	372	86.5956	40.6224	NA
128	0	5594	0	794	372	86.7048	40.6224	NA
123	164	10666	224	795	371	86.814	40.5132	NA
125	185	9542	274	796	370	86.9232	40.404	NA
128	215	5406	721	797	370	87.0324	40.404	NA
129	157	1553	243	798	369	87.1416	40.2948	NA
125	0	748	0	799	368	87.2508	40.1856	NA
124	0	384	0	800	368	87.36	40.1856	NA
125	0	185	0	801	367	87.4692	40.0764	NA
